terme_en,libelle_fr,page,labs,remarque
Interest Account,à confirmer sur ta base,NA,2.4-accounts-receivable-setup,Champ du `Customer Posting Group`
Interest Period (Days),à confirmer sur ta base,NA,2.4-accounts-receivable-setup,Champ de `Finance Charge Terms`
Interest Rate,à confirmer sur ta base,NA,2.4-accounts-receivable-setup,Champ de la ligne de niveau ou des `Finance Charge Terms`
Inventory Posting Group,à confirmer sur ta base,NA,2.2-posting-groups,Posé sur l'item
Inventory Posting Setup,à confirmer sur ta base,NA,2.2-posting-groups,Matrice `Location Code` x `Inventory Posting Group`
Invoicing,à confirmer sur ta base,NA,2.6-vat-posting-setup,"Onglet de la fiche customer, chemin à confirmer"
Invoicing FastTab,à confirmer sur ta base,NA,2.2-posting-groups;2.4-accounts-receivable-setup,Onglet des fiches client/item portant les posting groups
Issue,à confirmer sur ta base,NA,2.4-accounts-receivable-setup,Action d'émission
Issued Finance Charge Memo,à confirmer sur ta base,NA,2.4-accounts-receivable-setup,"Document émis, définitif"
Issued Reminder,à confirmer sur ta base,NA,2.4-accounts-receivable-setup,"Document émis, définitif"
Items,à confirmer sur ta base,NA,2.2-posting-groups,Page de liste
Last Date Updated,à confirmer sur ta base,NA,2.9-financial-reports-analysis-views,Champ de traçabilité du dernier `Update`
LCY,à confirmer sur ta base,NA,2.3-currency-exchange-rates,Devise locale de la société
Ledger Entry Type,à confirmer sur ta base,NA,2.9-financial-reports-analysis-views,"`Entries`, `Budget Entries`"
Liabilities,à confirmer sur ta base,NA,2.1-finance-setup,Valeur fixe de `Account Category`
Losses Acc. on Disposal,à confirmer sur ta base,NA,2.8-fixed-assets-setup,Champ de FA Posting Group
Making Tax Digital (VAT),à confirmer sur ta base,NA,2.6-vat-posting-setup,"Mentionné en théorie, hors périmètre du lab"
Name,à confirmer sur ta base,NA,2.1-finance-setup;2.7-cash-management;2.9-financial-reports-analysis-views,"Champ de libellé, présent sur plusieurs pages"
Navigate,à confirmer sur ta base,NA,2.2-posting-groups;2.6-vat-posting-setup,Action retrouvant toutes les écritures d'un document
New,à confirmer sur ta base,NA,1.4-dimensions;2.1-finance-setup;2.2-posting-groups;2.3-currency-exchange-rates;2.4-accounts-receivable-setup;2.5-payment-discounts;2.6-vat-posting-setup;2.7-cash-management;2.8-fixed-assets-setup,Action de ruban
New Fiscal Year,à confirmer sur ta base,NA,2.1-finance-setup,Champ coché sur la première période d'un exercice
No.,à confirmer sur ta base,NA,2.1-finance-setup;2.7-cash-management,Champ d'identifiant du compte
No. of Depreciation Years,à confirmer sur ta base,NA,2.8-fixed-assets-setup,Champ de la FA Depreciation Book
No. of Periods,à confirmer sur ta base,NA,2.1-finance-setup,Champ du dialogue `Create Fiscal Year`
No. Series,à confirmer sur ta base,NA,2.1-finance-setup,Champ présent sur le template et le batch
Normal VAT,à confirmer sur ta base,NA,2.6-vat-posting-setup,Valeur de `VAT Calculation Type`
Payables Account,à confirmer sur ta base,NA,2.5-payment-discounts,Compte de dette fournisseur
Payment,à confirmer sur ta base,NA,2.4-accounts-receivable-setup,"Onglet de la facture de vente portant `Due Date`, `Pmt. Discount Date`"
Payment Disc. Credit Acc.,à confirmer sur ta base,NA,2.5-payment-discounts,Champ du posting group
Payment Disc. Debit Acc.,à confirmer sur ta base,NA,2.5-payment-discounts,Champ du posting group
Payment Discount Grace Period,à confirmer sur ta base,NA,2.5-payment-discounts,Lié au `Payment Tolerance`
Payment Journal,à confirmer sur ta base,NA,2.5-payment-discounts,NA
Payment Journals,à confirmer sur ta base,NA,2.7-cash-management,NA
Payment Method,à confirmer sur ta base,NA,2.4-accounts-receivable-setup,Enregistrement individuel
Payment Method Code,à confirmer sur ta base,NA,2.4-accounts-receivable-setup,Champ de la fiche client
Payment Methods,à confirmer sur ta base,NA,2.4-accounts-receivable-setup,Page de liste
Payment Reconciliation Journal,à confirmer sur ta base,NA,2.7-cash-management,Page distincte de la Bank Acc. Reconciliation
Payment Term,à confirmer sur ta base,NA,2.4-accounts-receivable-setup,Enregistrement individuel
Payment Terms,à confirmer sur ta base,NA,2.4-accounts-receivable-setup;2.5-payment-discounts,Page de liste
Payment Terms Code,à confirmer sur ta base,NA,2.4-accounts-receivable-setup;2.5-payment-discounts,Champ de la fiche client
Payment Tolerance %,à confirmer sur ta base,NA,2.5-payment-discounts,À ne pas confondre avec l'escompte
Payments FastTab,à confirmer sur ta base,NA,2.4-accounts-receivable-setup,"Onglet de la fiche client portant `Reminder Terms Code`, `Fin. Charge Terms Code`"
Period Length,à confirmer sur ta base,NA,2.1-finance-setup,Champ du dialogue `Create Fiscal Year`
Pmt. Discount Amount,à confirmer sur ta base,NA,2.4-accounts-receivable-setup,Champ de la facture de vente
Pmt. Discount Date,à confirmer sur ta base,NA,2.4-accounts-receivable-setup;2.5-payment-discounts,Champ de la facture de vente
Post,à confirmer sur ta base,NA,1.4-dimensions;2.1-finance-setup;2.2-posting-groups;2.3-currency-exchange-rates;2.4-accounts-receivable-setup;2.5-payment-discounts;2.6-vat-posting-setup;2.7-cash-management;2.8-fixed-assets-setup;2.9-financial-reports-analysis-views,Action de validation
Post Additional Fee,à confirmer sur ta base,NA,2.4-accounts-receivable-setup,Champ de `Finance Charge Terms`
Post Interest,à confirmer sur ta base,NA,2.4-accounts-receivable-setup,Champ de `Finance Charge Terms`
Posted Sales Invoices,à confirmer sur ta base,NA,2.2-posting-groups;2.6-vat-posting-setup,Page de liste
Posting,à confirmer sur ta base,NA,2.1-finance-setup;2.6-vat-posting-setup;2.7-cash-management,Valeur du champ `Account Type`
Posting Date,à confirmer sur ta base,NA,2.1-finance-setup;2.3-currency-exchange-rates;2.5-payment-discounts;2.8-fixed-assets-setup,Champ de ligne de journal
Preview,à confirmer sur ta base,NA,2.9-financial-reports-analysis-views,"Action d'aperçu d'un `Financial Report`, libellé variable selon version"
Purchase Invoices,à confirmer sur ta base,NA,2.5-payment-discounts,Page de liste
Purchase VAT Account,à confirmer sur ta base,NA,2.6-vat-posting-setup,Champ sur la ligne de `VAT Posting Setup`
Purchases & Payables Setup,à confirmer sur ta base,NA,2.5-payment-discounts,NA
Realized Gains Acc.,à confirmer sur ta base,NA,2.3-currency-exchange-rates,Champ de la fiche `Currency`
Realized Losses Acc.,à confirmer sur ta base,NA,2.3-currency-exchange-rates,Champ de la fiche `Currency`
Receivables Account,à confirmer sur ta base,NA,2.2-posting-groups;2.4-accounts-receivable-setup,Champ du `Customer Posting Group`
Recurring,à confirmer sur ta base,NA,2.1-finance-setup,Champ du `Gen. Journal Template`
Recurring Method,à confirmer sur ta base,NA,2.1-finance-setup,"Champ de ligne de journal, requis si le template est `Recurring`"
Related,à confirmer sur ta base,NA,1.4-dimensions;2.8-fixed-assets-setup,Groupe de ruban donnant accès aux pages liées
Relational Exch. Rate Amount,à confirmer sur ta base,NA,2.3-currency-exchange-rates,Champ de la ligne de taux
Remaining Amount,à confirmer sur ta base,NA,2.7-cash-management,NA
Remaining Pmt. Disc. Possible,à confirmer sur ta base,NA,2.5-payment-discounts,Champ calculé sur l'écriture
Reminder,à confirmer sur ta base,NA,2.4-accounts-receivable-setup,Document non émis
Reminder Terms,à confirmer sur ta base,NA,2.4-accounts-receivable-setup,Page de liste et enregistrement
Reminder Terms Code,à confirmer sur ta base,NA,2.4-accounts-receivable-setup,Champ de la fiche client
Residual Gains Account,à confirmer sur ta base,NA,2.3-currency-exchange-rates,"Écart d'arrondi, pas un écart de change"
Residual Losses Account,à confirmer sur ta base,NA,2.3-currency-exchange-rates,"Écart d'arrondi, pas un écart de change"
Reverse Charge VAT,à confirmer sur ta base,NA,2.6-vat-posting-setup,Valeur de `VAT Calculation Type`
Role Center,à confirmer sur ta base,NA,1.4-dimensions;2.1-finance-setup;2.5-payment-discounts;2.8-fixed-assets-setup,Page d'accueil selon le profil
Row Definition,à confirmer sur ta base,NA,2.9-financial-reports-analysis-views,Instance d'une `Row Definitions`
Row Definitions,à confirmer sur ta base,NA,2.9-financial-reports-analysis-views,Anciennement `Account Schedule Names`
Row Type,à confirmer sur ta base,NA,2.9-financial-reports-analysis-views,"Nature de la ligne (comptes, formule, etc.)"
Run,à confirmer sur ta base,NA,2.9-financial-reports-analysis-views,"Action d'aperçu d'un `Financial Report`, libellé variable selon version"
Sales Account,à confirmer sur ta base,NA,2.2-posting-groups,Champ de `General Posting Setup`
Sales Invoice,à confirmer sur ta base,NA,2.3-currency-exchange-rates;2.6-vat-posting-setup,Document de vente
Sales Invoices,à confirmer sur ta base,NA,2.2-posting-groups;2.4-accounts-receivable-setup,Page de liste
Sales VAT Account,à confirmer sur ta base,NA,2.6-vat-posting-setup,Champ sur la ligne de `VAT Posting Setup`
Sell-to Customer No.,à confirmer sur ta base,NA,2.6-vat-posting-setup,Champ d'en-tête de la facture
Set Applies-to ID,à confirmer sur ta base,NA,2.5-payment-discounts,NA
Shortcut Dimension,à confirmer sur ta base,NA,1.4-dimensions,Numérotées 1 à 8
Starting Date,à confirmer sur ta base,NA,2.1-finance-setup;2.3-currency-exchange-rates,Champ de la période comptable
Statement Date,à confirmer sur ta base,NA,2.7-cash-management,NA
Statement Ending Balance,à confirmer sur ta base,NA,2.7-cash-management,Champ d'en-tête
Statement No.,à confirmer sur ta base,NA,2.7-cash-management,NA
Straight-Line,à confirmer sur ta base,NA,2.8-fixed-assets-setup,Valeur de Depreciation Method
Suggest Lines,à confirmer sur ta base,NA,2.7-cash-management,Action de la Bank Acc. Reconciliation
Tell Me,à confirmer sur ta base,NA,1.4-dimensions;2.1-finance-setup;2.2-posting-groups;2.3-currency-exchange-rates;2.4-accounts-receivable-setup;2.5-payment-discounts;2.6-vat-posting-setup;2.7-cash-management;2.8-fixed-assets-setup;2.9-financial-reports-analysis-views,`Alt+Q`
Total,à confirmer sur ta base,NA,2.1-finance-setup,Valeur du champ `Account Type`
Totaling,à confirmer sur ta base,NA,2.1-finance-setup;2.9-financial-reports-analysis-views,Filtre de sommation sur un compte `Total`
Type,à confirmer sur ta base,NA,2.1-finance-setup;2.6-vat-posting-setup,Champ du `Gen. Journal Template`
Unrealized Gains Acc.,à confirmer sur ta base,NA,2.3-currency-exchange-rates,Champ de la fiche `Currency`
Unrealized Losses Acc.,à confirmer sur ta base,NA,2.3-currency-exchange-rates,Champ de la fiche `Currency`
Update,à confirmer sur ta base,NA,2.9-financial-reports-analysis-views,Action de rafraîchissement de l'`Analysis View`
User Setup,à confirmer sur ta base,NA,2.1-finance-setup,Page de paramétrage par utilisateur
Value Posting,à confirmer sur ta base,NA,1.4-dimensions,"`Code Mandatory`, `Same Code`, `No Code`"
VAT %,à confirmer sur ta base,NA,2.6-vat-posting-setup,Champ sur la ligne de `VAT Posting Setup`
VAT Bus. Posting Group,à confirmer sur ta base,NA,2.6-vat-posting-setup,Champ sur la fiche customer
VAT Business Posting Groups,à confirmer sur ta base,NA,2.6-vat-posting-setup,"Page de liste, action `New`"
VAT Calculation Type,à confirmer sur ta base,NA,2.6-vat-posting-setup,"`Normal VAT`, `Reverse Charge VAT`, `Full VAT`…"
VAT Entries,à confirmer sur ta base,NA,2.6-vat-posting-setup,Écritures de TVA liées à une facture postée
VAT Identifier,à confirmer sur ta base,NA,2.6-vat-posting-setup,Champ sur la ligne de `VAT Posting Setup`
VAT Posting Setup,à confirmer sur ta base,NA,2.6-vat-posting-setup,Matrice croisant les deux groupes TVA
VAT Prod. Posting Group,à confirmer sur ta base,NA,2.6-vat-posting-setup,Champ sur la fiche G/L Account
VAT Product Posting Groups,à confirmer sur ta base,NA,2.6-vat-posting-setup,"Page de liste, action `New`"
VAT Return Periods,à confirmer sur ta base,NA,2.6-vat-posting-setup,"Mentionné en théorie, hors périmètre du lab"
VAT Statement,à confirmer sur ta base,NA,2.6-vat-posting-setup,Page de déclaration
Vendor,à confirmer sur ta base,NA,1.4-dimensions;2.3-currency-exchange-rates;2.7-cash-management,Type d'entries éligible à l'ajustement
Vendor Ledger Entries,à confirmer sur ta base,NA,2.5-payment-discounts,NA
Vendor Posting Group,à confirmer sur ta base,NA,2.5-payment-discounts,Champ de la vendor card
Vendor Posting Groups,à confirmer sur ta base,NA,2.5-payment-discounts,Page de liste
Vendors,à confirmer sur ta base,NA,2.5-payment-discounts,Page de liste des fournisseurs
